Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Facility URL,Golf URL,Nature Center URL,Longitude,Latitude,Location
Watkins Glen,State Park,4,Schuyler,N,Y,Y,,Y,https://parks.ny.gov/parks/142/details.aspx,,,-76.90013376,42.36753974,"(42.36753974, -76.90013376)"
New Windsor Cantonement,State Historic Site,8,Orange,N,N,N,,N,https://parks.ny.gov/historic-sites/22/details.aspx,,,-74.05945727,41.47339278,"(41.47339278, -74.05945727)"
Clinton House,State Historic Site,7,Dutchess,N,N,N,,N,https://parks.ny.gov/historic-sites/1/details.aspx,,,-73.91624471,41.70036495,"(41.70036495, -73.91624471)"
FDR Four Freedoms,State Park,12,Manhattan,N,N,N,N,N,https://parks.ny.gov/parks/186/details.aspx,,,-73.96037937,40.75067655,"(40.75067655, -73.96037937)"
Mine Kill,State Park,11,Schoharie,N,N,Y,,N,https://parks.ny.gov/parks/165/details.aspx,,,-74.4611211,42.43402454,"(42.43402454, -74.4611211)"
Amherst,State Park,1,Erie,N,N,N,,N,,,,-78.74808818,42.97100087,"(42.97100087, -78.74808818)"
Mexico Point Marine Park,Marine Facility,5,Oswego,N,N,N,,N,https://parks.ny.gov/parks/183/details.aspx,,,-76.25514321,43.52337504,"(43.52337504, -76.25514321)"
Montauk Point,State Park,9,Suffolk,N,N,Y,,N,https://parks.ny.gov/parks/61/details.aspx,,,-71.88138835,41.07145028,"(41.07145028, -71.88138835)"
Peter Jay,Other,7,Westchester,N,N,N,,N,https://parks.ny.gov/historic-sites/39/details.aspx,,,-73.70587755,40.95694601,"(40.95694601, -73.70587755)"
Whetstone Gulf,State Park,10,Lewis,N,Y,Y,,Y,https://parks.ny.gov/parks/92/details.aspx,,,-75.47741546,43.69850757,"(43.69850757, -75.47741546)"
Darwin Martin House Complex and Visitor Center,State Historic Site,1,Erie,N,N,N,,N,https://parks.ny.gov/historic-sites/35/details.aspx,,,-78.8480452,42.93609209,"(42.93609209, -78.8480452)"
Taconic,State Park,7,Dutchess,N,Y,Y,N,Y-M,https://parks.ny.gov/parks/83/details.aspx,,,-73.51743928,42.07786386,"(42.07786386, -73.51743928)"
Denny Farrell Riverbank,State Park,12,Manhattan,N,N,Y,,N,https://parks.ny.gov/parks/93/details.aspx,,,-73.95685417,40.82553482,"(40.82553482, -73.95685417)"
Long Point,State Park,10,Jefferson,N,Y,Y,,N,https://parks.ny.gov/parks/54/details.aspx,,,-76.21705748,44.02844022,"(44.02844022, -76.21705748)"
Fort Niagara,State Park,1,Niagara,N,N,Y,Y,N,https://parks.ny.gov/parks/175/details.aspx,,https://parks.ny.gov/environment/nature-centers/17/details.aspx,-79.05258585,43.26163494,"(43.26163494, -79.05258585)"
Lodi Point Marine Park,Marine Facility,4,Seneca,N,N,Y,,N,https://parks.ny.gov/parks/89/details.aspx,,,-76.87683054,42.61824659,"(42.61824659, -76.87683054)"
Schunnemunk,State Park,8,Orange,N,N,N,,N,https://parks.ny.gov/parks/184/details.aspx,,,-74.10271725,41.40211076,"(41.40211076, -74.10271725)"
Bethpage,State Park,9,Nassau,Y,N,Y,,N,https://parks.ny.gov/parks/108/details.aspx,https://parks.ny.gov/golf/11/details.aspx,,-73.45680354,40.74751741,"(40.74751741, -73.45680354)"
