"","cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","latitude","longitude","lat_lon.latitude","lat_lon.longitude","patrol_boro","vic_age_group","vic_race","vic_sex","cmplnt_to_dt","cmplnt_to_tm","parks_nm","hadevelopt","transit_district","station_name"
"1","700381962",2015-05-28,"15:00:00","46",2015-06-01,"578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","BRONX","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","1007522","247458","25-44","BLACK","M","40.84586773","-73.915888033","40.84586773","-73.915888033","PATROL BORO BRONX","25-44","WHITE HISPANIC","F",NA,NA,NA,NA,NA,NA
"2","642234217",2013-10-28,"13:50:00","120",2013-10-28,"351","CRIMINAL MISCHIEF & RELATED OF","259","CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","STATEN ISLAND","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","962835","167738",NA,NA,NA,"40.627060894","-74.077149232","40.627060894","-74.077149232","PATROL BORO STATEN ISLAND","45-64","WHITE","M",2013-10-28,"13:50:00","NA",NA,NA,NA
"3","242465164",2012-05-09,"20:50:00","24",2012-05-09,"236","DANGEROUS WEAPONS","782","WEAPONS, POSSESSION, ETC","COMPLETED","MISDEMEANOR","MANHATTAN",NA,"STREET","N.Y. POLICE DEPT","0","NA","992820","231089",NA,NA,NA,"40.800965968","-73.969047272","40.800965968","-73.969047272","PATROL BORO MAN NORTH",NA,"UNKNOWN","E",2012-05-09,"21:00:00","NA",NA,NA,NA
"4","927207428",2014-01-03,"13:30:00","108",2014-01-03,"109","GRAND LARCENY","409","LARCENY,GRAND BY EXTORTION","ATTEMPTED","FELONY","QUEENS","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","1013552","210803",NA,"UNKNOWN","M","40.745241809","-73.894253382","40.745241809","-73.894253382","PATROL BORO QUEENS NORTH","45-64","ASIAN / PACIFIC ISLANDER","M",2014-01-03,"13:35:00",NA,NA,NA,NA
"5","492142357",2016-04-13,"00:00:00","40",2016-04-13,"351","CRIMINAL MISCHIEF & RELATED OF","258","CRIMINAL MISCHIEF 4TH, GRAFFIT","COMPLETED","MISDEMEANOR","BRONX",NA,"HIGHWAY/PARKWAY","N.Y. POLICE DEPT","0","NA","1005028","234516",NA,NA,NA,"40.810351863","-73.924942326","40.810351863","-73.924942326","PATROL BORO BRONX","UNKNOWN","UNKNOWN","E",NA,NA,NA,NA,NA,NA
"6","572616350",2014-08-18,"14:30:00","102",2014-08-18,"341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","QUEENS","FRONT OF","STREET","N.Y. POLICE DEPT","0","NA","1025425","188384",NA,NA,NA,"40.683659778","-73.85154207","40.683659778","-73.85154207","PATROL BORO QUEENS SOUTH","18-24","WHITE","F",2014-08-18,"16:00:00",NA,NA,NA,NA
"7","593660503",2012-02-20,"01:30:00","32",2012-02-20,"344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","1000693","234939","25-44","BLACK","M","40.811522012","-73.940601181","40.811522012","-73.940601181","PATROL BORO MAN NORTH","25-44","BLACK","F",2012-02-20,"02:00:00","NA",NA,NA,NA
"8","671754904",2017-06-25,"14:00:00","13",2017-06-25,"578","HARRASSMENT 2","637","HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","MANHATTAN","OPPOSITE OF","OPEN AREAS (OPEN LOTS)","N.Y. POLICE DEPT","0","NA","988958","209044","UNKNOWN","UNKNOWN","U","40.740461082","-73.983011957","40.740461082","-73.983011957","PATROL BORO MAN SOUTH","45-64","WHITE","F",2017-06-25,"14:15:00",NA,NA,NA,NA
"9","922264723",2012-09-30,"16:00:00","70",2012-10-02,"341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT","0","NA","998399","167990",NA,NA,NA,"40.627767171","-73.949028967","40.627767171","-73.949028967","PATROL BORO BKLYN SOUTH","25-44","WHITE","M",2012-10-02,"20:15:00","NA",NA,NA,NA
"10","467512872",2016-10-28,"12:00:00","81",2017-02-27,"113","FORGERY","729","FORGERY,ETC.,UNCLASSIFIED-FELO","COMPLETED","FELONY","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","1006656","186666",NA,NA,NA,"40.679011668","-73.919220684","40.679011668","-73.919220684","PATROL BORO BKLYN NORTH","65+","BLACK","F",2017-02-27,"12:15:00",NA,NA,NA,NA
"11","889259677",2012-09-28,"09:30:00","47",2012-10-02,"578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","BRONX","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","NA","1026591","259192","25-44","BLACK HISPANIC","M","40.878003133","-73.846891755","40.878003133","-73.846891755","PATROL BORO BRONX","18-24","BLACK HISPANIC","F",2012-09-28,"18:45:00","NA",NA,NA,NA
"12","602484492",2017-03-26,"12:00:00","70",2017-03-26,"341","PETIT LARCENY","333","LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","CHAIN STORE","N.Y. POLICE DEPT","0","NA","999240","169262","25-44","WHITE","F","40.63125716","-73.945996398","40.63125716","-73.945996398","PATROL BORO BKLYN SOUTH","UNKNOWN","UNKNOWN","D",2017-03-26,"12:20:00",NA,NA,NA,NA
"13","331617213",2016-10-13,"16:55:00","28",2016-10-13,"117","DANGEROUS DRUGS","519","SALE SCHOOL GROUNDS 4","COMPLETED","FELONY","MANHATTAN","OPPOSITE OF","RESIDENCE - PUBLIC HOUSING","N.Y. HOUSING POLICE","2","638","998007","230362","45-64","BLACK","M","40.798963998","-73.95031372","40.798963998","-73.95031372","PATROL BORO MAN NORTH","UNKNOWN","UNKNOWN","E",2016-10-13,"17:15:00",NA,NA,NA,NA
