"","dateupdated","cnty_cod","county","totalcases","totalcaserate","hospitalization","totaldeaths","confirmedcases","probablecases","confirmeddeaths","probabledeaths"
"1",2020-05-21 00:00:00,"1","Fairfield","14889","1578","226","1195",NA,NA,NA,NA
"2",2020-05-21 00:00:00,"2","Hartford","9463","1060","184","1155",NA,NA,NA,NA
"3",2020-05-21 00:00:00,"3","Litchfield","1298","717","6","121",NA,NA,NA,NA
"4",2020-05-21 00:00:00,"4","Middlesex","992","610","28","135",NA,NA,NA,NA
"5",2020-05-21 00:00:00,"5","New Haven","10756","1254","272","888",NA,NA,NA,NA
"6",2020-05-21 00:00:00,"6","New London","910","341","21","72",NA,NA,NA,NA
"7",2020-05-21 00:00:00,"7","Tolland","796","527","0","55",NA,NA,NA,NA
"8",2020-05-21 00:00:00,"8","Windham","348","297","3","14",NA,NA,NA,NA
"9",2020-05-22 00:00:00,"1","Fairfield","14989","1588","227","1208",NA,NA,NA,NA
"10",2020-05-22 00:00:00,"2","Hartford","9545","1069","179","1169",NA,NA,NA,NA
"11",2020-05-22 00:00:00,"3","Litchfield","1304","720","5","122",NA,NA,NA,NA
"12",2020-05-22 00:00:00,"4","Middlesex","999","614","25","136",NA,NA,NA,NA
"13",2020-05-22 00:00:00,"5","New Haven","10847","1265","265","897",NA,NA,NA,NA
"14",2020-05-22 00:00:00,"6","New London","970","364","20","72",NA,NA,NA,NA
"15",2020-05-22 00:00:00,"7","Tolland","799","529","0","55",NA,NA,NA,NA
"16",2020-05-22 00:00:00,"8","Windham","354","302","3","14",NA,NA,NA,NA
"17",2020-05-23 00:00:00,"1","Fairfield","15114","1601","232","1215",NA,NA,NA,NA
"18",2020-05-23 00:00:00,"2","Hartford","9686","1085","164","1175",NA,NA,NA,NA
"19",2020-05-23 00:00:00,"3","Litchfield","1331","735","5","121",NA,NA,NA,NA
"20",2020-05-23 00:00:00,"4","Middlesex","1010","621","26","136",NA,NA,NA,NA
"21",2020-05-23 00:00:00,"5","New Haven","10905","1272","254","903",NA,NA,NA,NA
"22",2020-05-23 00:00:00,"6","New London","1046","392","17","74",NA,NA,NA,NA
"23",2020-05-23 00:00:00,"7","Tolland","807","535","0","55",NA,NA,NA,NA
"24",2020-05-23 00:00:00,"8","Windham","359","307","3","14",NA,NA,NA,NA
"25",2020-05-24 00:00:00,"1","Fairfield","15213","1612","233","1221",NA,NA,NA,NA
"26",2020-05-24 00:00:00,"2","Hartford","9841","1102","166","1187",NA,NA,NA,NA
"27",2020-05-24 00:00:00,"3","Litchfield","1346","743","6","126",NA,NA,NA,NA
"28",2020-05-24 00:00:00,"4","Middlesex","1012","622","29","138",NA,NA,NA,NA
"29",2020-05-24 00:00:00,"5","New Haven","11017","1285","253","922",NA,NA,NA,NA
"30",2020-05-24 00:00:00,"6","New London","1043","391","16","78",NA,NA,NA,NA
"31",2020-05-24 00:00:00,"7","Tolland","812","538","0","56",NA,NA,NA,NA
"32",2020-05-24 00:00:00,"8","Windham","365","312","3","14",NA,NA,NA,NA
"33",2020-05-25 00:00:00,"1","Fairfield","15355","1627","225","1231",NA,NA,NA,NA
"34",2020-05-25 00:00:00,"2","Hartford","9917","1111","173","1193",NA,NA,NA,NA
"35",2020-05-25 00:00:00,"3","Litchfield","1360","751","4","129",NA,NA,NA,NA
"36",2020-05-25 00:00:00,"4","Middlesex","1026","631","28","142",NA,NA,NA,NA
"37",2020-05-25 00:00:00,"5","New Haven","11121","1297","248","925",NA,NA,NA,NA
"38",2020-05-25 00:00:00,"6","New London","1075","403","14","78",NA,NA,NA,NA
"39",2020-05-25 00:00:00,"7","Tolland","821","544","0","56",NA,NA,NA,NA
"40",2020-05-25 00:00:00,"8","Windham","371","317","2","14",NA,NA,NA,NA
"41",2020-05-26 00:00:00,"1","Fairfield","15314","1623","220","1242",NA,NA,NA,NA
"42",2020-05-26 00:00:00,"2","Hartford","9962","1116","165","1203",NA,NA,NA,NA
"43",2020-05-26 00:00:00,"3","Litchfield","1360","751","5","130",NA,NA,NA,NA
"44",2020-05-26 00:00:00,"4","Middlesex","1061","652","30","143",NA,NA,NA,NA
"45",2020-05-26 00:00:00,"5","New Haven","11124","1297","248","934",NA,NA,NA,NA
"46",2020-05-26 00:00:00,"6","New London","1053","395","15","79",NA,NA,NA,NA
"47",2020-05-26 00:00:00,"7","Tolland","815","540","0","57",NA,NA,NA,NA
"48",2020-05-26 00:00:00,"8","Windham","371","317","1","14",NA,NA,NA,NA
"49",2020-05-27 00:00:00,"1","Fairfield","15353","1627","211","1246",NA,NA,NA,NA
"50",2020-05-27 00:00:00,"2","Hartford","10078","1129","158","1208",NA,NA,NA,NA
