"","crash_date","crash_time","borough","zip_code","latitude","longitude","location.latitude","location.longitude","location.human_address","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","collision_id","vehicle_type_code1","vehicle_type_code2","on_street_name","off_street_name","contributing_factor_vehicle_3","vehicle_type_code_3","contributing_factor_vehicle_4","vehicle_type_code_4","contributing_factor_vehicle_5","vehicle_type_code_5"
"1",2021-04-13,"0:00","BROOKLYN","11222","40.7264440","-73.9523300","40.726444","-73.95233",NA,"745       MANHATTAN AVENUE              ","0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified","4406876","AMBULANCE","Van",NA,NA,NA,NA,NA,NA,NA,NA
"2",2021-04-13,"0:00","BROOKLYN","11231","40.6785240","-74.0021000","40.678524","-74.0021",NA,"667       HENRY STREET                  ","0","0","0","0","0","0","0","0","Unspecified",NA,"4407150","Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2021-04-13,"0:00","QUEENS","11420","40.6774980","-73.8276000","40.677498","-73.8276",NA,NA,"0","0","0","0","0","0","0","0","Other Vehicular","Following Too Closely","4406940","Bus","Station Wagon/Sport Utility Vehicle","111 STREET                      ","ROCKAWAY BOULEVARD",NA,NA,NA,NA,NA,NA
"4",2021-04-13,"0:00",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified","4407166","Tractor Truck Gasoline","Tractor Truck Gasoline","ALEXANDER HAMILTON BRIDGE       ",NA,NA,NA,NA,NA,NA,NA
"5",2021-04-13,"0:00",NA,NA,"40.8772350","-73.9178100","40.877235","-73.91781",NA,NA,"0","0","0","0","0","0","0","0","Unspecified",NA,"4406935","Sedan",NA,"JOHNSON AVENUE                  ",NA,NA,NA,NA,NA,NA,NA
"6",2021-04-13,"0:00",NA,NA,"40.9002100","-73.8865000","40.90021","-73.8865",NA,NA,"1","0","0","0","0","0","1","0","Unspecified","Unspecified","4407335","Sedan","Sedan","MOSHOLU PARKWAY                 ",NA,"Unspecified","Sedan",NA,NA,NA,NA
"7",2021-04-13,"0:07","BRONX","10456","40.8294200","-73.9122600","40.82942","-73.91226",NA,NA,"1","0","0","0","0","0","1","0","Traffic Control Disregarded","Unspecified","4406764","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","EAST 166 STREET                 ","CLAY AVENUE",NA,NA,NA,NA,NA,NA
"8",2021-04-13,"0:15","QUEENS","11378","40.7274320","-73.9071300","40.727432","-73.90713",NA,NA,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Driver Inattention/Distraction","4406969","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","LONG ISLAND EXPRESSWAY          ","MAURICE AVENUE",NA,NA,NA,NA,NA,NA
"9",2021-04-13,"0:45",NA,NA,"40.8439560","-73.8978000","40.843956","-73.8978",NA,NA,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified","4406937","Station Wagon/Sport Utility Vehicle","Sedan","CROSS BRONX EXPY                ",NA,NA,NA,NA,NA,NA,NA
"10",2021-04-13,"10:00","BRONX","10463",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","Unspecified",NA,"4406932","Sedan",NA,"Ft independence street          ","Bailey place",NA,NA,NA,NA,NA,NA
"11",2021-04-13,"10:00","BROOKLYN","11207","40.6862260","-73.9124000","40.686226","-73.9124",NA,NA,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified","4407056","Sedan","Station Wagon/Sport Utility Vehicle","BUSHWICK AVENUE                 ","COVERT STREET",NA,NA,NA,NA,NA,NA
"12",2021-04-13,"10:00","BROOKLYN","11209","40.6347430","-74.0352900","40.634743","-74.03529",NA,NA,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified","4407022","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","NARROWS AVENUE                  ","73 STREET",NA,NA,NA,NA,NA,NA
"13",2021-04-13,"10:00",NA,NA,"40.8178200","-73.9152760","40.81782","-73.915276",NA,NA,"0","0","0","0","0","0","0","0","Unspecified",NA,"4406899","Sedan",NA,"3 AVENUE                        ","EAST 152 STREET",NA,NA,NA,NA,NA,NA
"14",2021-04-13,"10:00","BROOKLYN","11203","40.6423840","-73.9253900","40.642384","-73.92539",NA,NA,"1","0","0","0","0","0","1","0","Turning Improperly","Unspecified","4406931","Sedan","Sedan","AVENUE D                        ","KINGS HIGHWAY",NA,NA,NA,NA,NA,NA
"15",2021-04-13,"10:04","BROOKLYN","11236","40.6538960","-73.9014200","40.653896","-73.90142",NA,"10502     AVENUE D                      ","0","0","0","0","0","0","0","0","Turning Improperly","Unspecified","4407404","Station Wagon/Sport Utility Vehicle","Sedan",NA,NA,NA,NA,NA,NA,NA,NA
"16",2021-04-13,"10:15","BROOKLYN","11231","40.6837200","-74.0033400","40.68372","-74.00334",NA,NA,"1","0","0","0","0","0","1","0","Reaction to Uninvolved Vehicle","Unspecified","4407666","Sedan","Pick-up Truck","COLUMBIA STREET                 ","PRESIDENT STREET",NA,NA,NA,NA,NA,NA
"17",2021-04-13,"10:20","BRONX","10459","40.8231770","-73.8899600","40.823177","-73.88996",NA,"979       ALDUS STREET                  ","0","0","0","0","0","0","0","0","Unspecified",NA,"4407108","Sedan","Box Truck",NA,NA,NA,NA,NA,NA,NA,NA
"18",2021-04-13,"10:21","BRONX","10461","40.8453800","-73.8409000","40.84538","-73.8409",NA,"1500      WATERS PLACE                  ","0","0","0","0","0","0","0","0","Unspecified",NA,"4406904","Ambulance",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2021-04-13,"10:30","BROOKLYN","11223","40.6021200","-73.9695800","40.60212","-73.96958",NA,NA,"0","0","0","0","0","0","0","0","Unspecified",NA,"4407098","Pick-up Truck",NA,"AVENUE S                        ","EAST 3 STREET",NA,NA,NA,NA,NA,NA
"20",2021-04-13,"10:30","MANHATTAN","10019","40.7668880","-73.9833150","40.766888","-73.983315",NA,"300       WEST 57 STREET                ","0","0","0","0","0","0","0","0","Unspecified","Unspecified","4407031","Station Wagon/Sport Utility Vehicle","Sedan",NA,NA,NA,NA,NA,NA,NA,NA
"21",2021-04-13,"10:30","QUEENS","11360",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified","4406951","Station Wagon/Sport Utility Vehicle",NA,"26TH AVENUE                     ","CORPORAL KENNEDY STREET",NA,NA,NA,NA,NA,NA
"22",2021-04-13,"10:30",NA,NA,"40.7056700","-73.9214200","40.70567","-73.92142",NA,NA,"0","0","0","0","0","0","0","0","Turning Improperly","Unspecified","4407139","Tractor Truck Diesel","Sedan","WYCKOFF AVENUE                  ",NA,NA,NA,NA,NA,NA,NA
"23",2021-04-13,"10:31","QUEENS","11378","40.7291340","-73.9310150","40.729134","-73.931015",NA,NA,"1","0","0","0","0","0","1","0","Fell Asleep","Unspecified","4407306","TRAC","Sedan","REVIEW AVENUE                   ","LAUREL HILL BOULEVARD",NA,NA,NA,NA,NA,NA
"24",2021-04-13,"10:37","BROOKLYN","11207","40.6710470","-73.8927150","40.671047","-73.892715",NA,NA,"0","0","0","0","0","0","0","0","Unspecified",NA,"4407718","Sedan",NA,"BELMONT AVENUE                  ","WYONA STREET",NA,NA,NA,NA,NA,NA
"25",2021-04-13,"10:52","BROOKLYN","11220","40.6114300","-74.0348500","40.61143","-74.03485",NA,NA,"2","0","0","0","0","0","2","0","Driver Inattention/Distraction",NA,"4407024","Station Wagon/Sport Utility Vehicle",NA,"SHORE ROAD                      ","4 AVENUE",NA,NA,NA,NA,NA,NA
"26",2021-04-13,"11:00",NA,NA,"40.7328870","-73.9205860","40.732887","-73.920586",NA,NA,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified","4407307","Box Truck","Station Wagon/Sport Utility Vehicle","LONG ISLAND EXPRESSWAY          ",NA,NA,NA,NA,NA,NA,NA
"27",2021-04-13,"11:00",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified","4406933","Station Wagon/Sport Utility Vehicle","Sedan","MAJOR DEEGAN EXPRESSWAY RAMP    ",NA,NA,NA,NA,NA,NA,NA
"28",2021-04-13,"11:00","MANHATTAN","10001","40.7509880","-73.9906300","40.750988","-73.99063",NA,NA,"1","0","1","0","0","0","0","0","Unspecified",NA,"4407047","Bus",NA,"WEST 34 STREET                  ","7 AVENUE",NA,NA,NA,NA,NA,NA
"29",2021-04-13,"11:18","QUEENS","11372","40.7470600","-73.8894400","40.74706","-73.88944",NA,"76-13     ROOSEVELT AVENUE              ","4","0","0","0","0","0","4","0","Unspecified",NA,"4407240","Sedan",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2021-04-13,"11:26","BROOKLYN","11221","40.6872300","-73.9417950","40.68723","-73.941795",NA,NA,"0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified","4407054","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","THROOP AVENUE                   ","GATES AVENUE",NA,NA,NA,NA,NA,NA
